iter	Passed	Remaining
613	2502	1572
614	2505	1568
615	2509	1564
616	2513	1559
617	2516	1555
618	2520	1551
619	2523	1546
620	2527	1542
621	2531	1538
622	2535	1534
623	2539	1530
624	2543	1525
625	2546	1521
626	2550	1516
627	2553	1512
628	2558	1508
629	2561	1504
630	2565	1500
631	2570	1496
632	2573	1492
633	2578	1488
634	2581	1484
635	2585	1479
636	2588	1475
637	2592	1471
638	2596	1466
639	2600	1462
640	2603	1458
641	2607	1453
642	2610	1449
643	2613	1444
644	2617	1440
645	2620	1436
646	2624	1431
647	2627	1427
648	2631	1423
649	2635	1418
650	2639	1414
651	2643	1410
652	2646	1406
653	2651	1402
654	2655	1398
655	2659	1394
656	2662	1390
657	2666	1386
658	2671	1382
659	2675	1378
660	2678	1373
661	2683	1370
662	2687	1366
663	2691	1362
664	2694	1357
665	2698	1353
666	2701	1348
667	2704	1344
668	2709	1340
669	2713	1336
670	2717	1332
671	2720	1327
672	2725	1324
673	2728	1319
674	2732	1315
675	2736	1311
676	2739	1307
677	2742	1302
678	2746	1298
679	2749	1294
680	2753	1289
681	2756	1285
682	2759	1280
683	2763	1276
684	2766	1272
685	2770	1268
686	2773	1263
687	2777	1259
688	2780	1255
689	2785	1251
690	2788	1247
691	2792	1242
692	2795	1238
693	2798	1234
694	2802	1230
695	2806	1225
696	2808	1221
697	2812	1216
698	2815	1212
699	2819	1208
700	2823	1204
701	2826	1200
702	2831	1196
703	2835	1192
704	2839	1188
705	2843	1184
706	2847	1180
707	2851	1176
708	2854	1171
709	2858	1167
710	2862	1163
711	2866	1159
712	2869	1155
713	2872	1150
714	2877	1147
715	2881	1142
716	2884	1138
717	2887	1134
718	2891	1130
719	2894	1125
720	2898	1121
721	2901	1117
722	2905	1113
723	2909	1109
724	2913	1104
725	2916	1100
726	2920	1096
727	2924	1092
728	2927	1088
729	2931	1084
730	2935	1080
731	2938	1075
732	2941	1071
733	2945	1067
734	2949	1063
735	2952	1059
736	2955	1054
737	2959	1050
738	2963	1046
739	2966	1042
740	2969	1037
741	2972	1033
742	2976	1029
743	2980	1025
744	2984	1021
745	2987	1017
746	2990	1012
747	2994	1008
748	2998	1004
749	3002	1000
750	3005	996
751	3008	992
752	3012	988
753	3016	984
754	3019	979
755	3023	975
756	3027	971
757	3031	967
758	3034	963
759	3037	959
760	3041	955
761	3045	951
762	3048	947
763	3052	942
764	3056	938
765	3059	934
766	3063	930
767	3066	926
768	3070	922
769	3074	918
770	3078	914
771	3083	910
772	3086	906
773	3091	902
774	3095	898
775	3098	894
776	3102	890
777	3105	886
778	3109	882
779	3112	878
780	3116	873
781	3119	869
782	3123	865
783	3127	861
784	3130	857
785	3134	853
786	3138	849
787	3142	845
788	3145	841
789	3150	837
790	3153	833
791	3158	829
792	3162	825
793	3166	821
794	3170	817
795	3174	813
796	3178	809
797	3181	805
798	3184	801
799	3188	797
800	3191	792
801	3194	788
802	3198	784
803	3202	780
804	3206	776
805	3211	772
806	3215	768
807	3219	764
808	3223	760
809	3226	756
810	3231	752
811	3233	748
812	3238	744
813	3242	740
814	3245	736
815	3249	732
816	3253	728
817	3256	724
818	3260	720
819	3263	716
820	3267	712
821	3271	708
822	3274	704
823	3278	700
824	3281	696
825	3285	692
826	3289	688
827	3292	683
828	3296	679
829	3300	675
830	3304	671
831	3308	667
832	3311	663
833	3315	659
834	3319	655
835	3322	651
836	3326	647
837	3330	643
838	3333	639
839	3337	635
840	3339	631
841	3343	627
842	3346	623
843	3350	619
844	3354	615
845	3358	611
846	3362	607
847	3365	603
848	3369	599
849	3372	595
850	3376	591
851	3379	587
852	3383	583
853	3386	579
854	3390	574
855	3392	570
856	3396	566
857	3400	562
858	3403	558
859	3407	554
860	3410	550
861	3413	546
862	3417	542
863	3421	538
864	3424	534
865	3427	530
866	3431	526
867	3435	522
868	3438	518
869	3443	514
870	3446	510
871	3450	506
872	3454	502
873	3457	498
874	3461	494
875	3465	490
876	3468	486
877	3472	482
878	3475	478
879	3480	474
880	3483	470
881	3487	466
882	3490	462
883	3493	458
884	3497	454
885	3501	450
886	3504	446
887	3507	442
888	3511	438
889	3515	434
890	3518	430
891	3522	426
892	3525	422
893	3529	418
894	3532	414
895	3536	410
896	3540	406
897	3544	402
898	3547	398
899	3551	394
900	3555	390
901	3558	386
902	3562	382
903	3566	378
904	3570	374
905	3573	370
